"cve.CVE_data_meta.ID",lastModifiedDate,yearandcve,v3BaseScore,v2BaseScore,v2ExploitScore,v3ExploitScore,linecount,cve,v3impact,v2impact,v3Severity,description,"cve.problemtype.problemtype_data{}.description{}.value",NodescriptionLength,Nolinecount,Nov2BaseScore,Nov2ExploitScore,Nov3BaseScore,Nov3ExploitScore,counted,descriptionLength
"CVE-2018-20596","2019-01-28T21:14Z","2018-20596","9.8","7.5","10.0","3.9",88,20596,HIGH,PARTIAL,CRITICAL,"Jspxcms v9.0.0 allows SSRF.","CWE-918",27,88,"7.5","10.0","9.8","3.9","146.2",27
"CVE-2018-20133","2019-01-07T13:28Z","2018-20133","9.8","7.5","10.0","3.9",88,20133,HIGH,PARTIAL,CRITICAL,"ymlref allows code injection.","CWE-94",29,88,"7.5","10.0","9.8","3.9","148.2",29
"CVE-2021-38577","2022-03-10T01:55Z","2021-38577","9.8","7.5","10.0","3.9",89,38577,HIGH,PARTIAL,CRITICAL,"Heap Overflow in BaseBmpSupportLib.","CWE-787",35,89,"7.5","10.0","9.8","3.9","155.2",35
"CVE-2021-41372","2021-11-12T17:32Z","2021-41372","9.6","6.8","8.6","2.8",91,41372,HIGH,PARTIAL,CRITICAL,"Power BI Report Server Spoofing Vulnerability","CWE-352
CWE-79",45,91,"6.8","8.6","9.6","2.8","163.8",45
"CVE-2020-10380","2020-03-19T16:59Z","2020-10380","9.8","7.5","10.0","3.9",89,10380,HIGH,PARTIAL,CRITICAL,"RMySQL through 0.10.19 allows SQL Injection.","CWE-89",44,89,"7.5","10.0","9.8","3.9","164.2",44
"CVE-2020-13380","2020-09-03T12:05Z","2020-13380","9.8","7.5","10.0","3.9",94,13380,HIGH,PARTIAL,CRITICAL,"openSIS before 7.4 allows SQL Injection.","CWE-89",40,94,"7.5","10.0","9.8","3.9","165.2",40
"CVE-2021-37059","2021-12-09T17:40Z","2021-37059","9.8","7.5","10.0","3.9",89,37059,HIGH,PARTIAL,CRITICAL,"There is a Weaknesses Introduced During Design","NVD-CWE-noinfo",46,89,"7.5","10.0","9.8","3.9","166.2",46
"CVE-2018-20059","2019-01-03T16:15Z","2018-20059","9.8","7.5","10.0","3.9",88,20059,HIGH,PARTIAL,CRITICAL,"jaxb/JaxbEngine.java in Pippo 1.11.0 allows XXE.","CWE-611",48,88,"7.5","10.0","9.8","3.9","167.2",48
"CVE-2021-26904","2021-03-04T13:38Z","2021-26904","9.8","7.5","10.0","3.9",93,26904,HIGH,PARTIAL,CRITICAL,"LMA ISIDA Retriever 5.2 allows SQL Injection.","CWE-89",45,93,"7.5","10.0","9.8","3.9","169.2",45
"CVE-2020-13381","2020-09-03T12:05Z","2020-13381","9.8","7.5","10.0","3.9",99,13381,HIGH,PARTIAL,CRITICAL,"openSIS through 7.4 allows SQL Injection.","CWE-89",41,99,"7.5","10.0","9.8","3.9","171.2",41
